in_curated_db	in_HRGM	novel	antismash_SPMP_GCF
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	FALSE	TRUE	TRUE
FALSE	TRUE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
TRUE	FALSE	FALSE	TRUE
FALSE	FALSE	TRUE	TRUE
